aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Afternoon (12:00-17:00),5511
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,AM Peak Period (07:00-10:00),2435
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Evening (17:00-22:00),5695
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Midday (10:00-16:00),5864
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,Morning (08:00-12:00),3426
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Vehicles,EB,PM Peak Period (16:00-19:00),4033
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,14 Hour,816
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Afternoon (12:00-17:00),219
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,AM Peak Period (07:00-10:00),271
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Evening (17:00-22:00),281
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Midday (10:00-16:00),226
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,Morning (08:00-12:00),306
Apr 2018,13466536,Bay St / Richmond St W,63,Cyclists,WB,PM Peak Period (16:00-19:00),253
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,14 Hour,4698
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Afternoon (12:00-17:00),1944
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,AM Peak Period (07:00-10:00),941
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Evening (17:00-22:00),1582
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Midday (10:00-16:00),1987
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,Morning (08:00-12:00),1240
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,EB,PM Peak Period (16:00-19:00),1449
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,14 Hour,5200
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Afternoon (12:00-17:00),2283
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,AM Peak Period (07:00-10:00),919
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Evening (17:00-22:00),1836
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Midday (10:00-16:00),2139
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,Morning (08:00-12:00),1268
Apr 2018,13466536,Bay St / Richmond St W,63,Pedestrians,WB,PM Peak Period (16:00-19:00),1788
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,14 Hour,13380
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Afternoon (12:00-17:00),4645
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,AM Peak Period (07:00-10:00),3372
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Evening (17:00-22:00),4258
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Midday (10:00-16:00),5390
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,Morning (08:00-12:00),4095
Apr 2018,13466536,Bay St / Richmond St W,63,Vehicles,WB,PM Peak Period (16:00-19:00),3053
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,14 Hour,206
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Afternoon (12:00-17:00),77
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,AM Peak Period (07:00-10:00),21
Apr 2018,13466630,King St E / Jarvis St,3,Cyclists,EB,Evening (17:00-22:00),108
