centreline_id,lf_name,from_to,dir,datetime_bin,volume
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 04:15:00,6
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 18:45:00,43
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 00:00:00,40
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 18:30:00,40
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 04:30:00,9
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 18:15:00,41
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 22:45:00,43
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 18:00:00,37
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 04:45:00,6
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 17:45:00,60
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 22:30:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 17:30:00,42
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 05:00:00,5
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 17:15:00,39
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 22:15:00,61
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 17:00:00,52
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 05:15:00,11
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 16:45:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 22:00:00,47
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 16:30:00,44
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 05:30:00,16
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 16:15:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 21:45:00,51
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 16:00:00,48
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 05:45:00,20
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 15:45:00,46
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 21:30:00,39
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 15:30:00,63
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 06:00:00,21
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 15:15:00,42
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 21:15:00,37
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 15:00:00,55
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 06:15:00,27
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 14:45:00,59
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 21:00:00,58
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 08:15:00,29
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 06:30:00,31
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 14:30:00,54
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 20:45:00,46
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 14:15:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 06:45:00,47
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 14:00:00,45
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 20:30:00,39
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 13:45:00,59
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 07:00:00,57
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 13:30:00,57
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 20:15:00,46
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 08:00:00,14
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 07:15:00,66
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 07:45:00,17
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 20:00:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 07:30:00,20
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 07:30:00,76
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 07:15:00,12
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 19:45:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 07:00:00,17
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 07:45:00,83
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 06:45:00,21
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 19:30:00,50
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 06:30:00,8
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 08:00:00,96
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 06:15:00,10
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 19:15:00,54
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 13:15:00,59
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 08:15:00,128
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 13:00:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 19:00:00,52
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 12:45:00,68
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 08:30:00,126
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 12:30:00,49
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 18:45:00,69
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 12:15:00,41
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 08:45:00,132
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 12:00:00,55
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 18:30:00,51
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 11:45:00,45
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 09:00:00,119
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 11:30:00,43
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 18:15:00,57
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 11:15:00,41
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 09:15:00,104
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 11:00:00,33
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 18:00:00,63
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 10:45:00,49
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 09:30:00,85
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 10:30:00,49
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 17:45:00,54
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 10:15:00,46
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 09:45:00,74
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 10:00:00,36
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 17:30:00,47
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 09:45:00,28
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 10:00:00,80
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 09:30:00,26
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 17:15:00,58
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 09:15:00,27
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 10:15:00,61
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 09:00:00,18
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 17:00:00,68
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 08:45:00,28
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 10:30:00,76
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 08:30:00,18
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 16:45:00,63
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 06:00:00,11
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 10:45:00,67
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 05:45:00,14
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 16:30:00,68
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 05:30:00,13
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 11:00:00,71
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 05:15:00,10
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 16:15:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 05:00:00,11
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 11:15:00,56
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 04:45:00,19
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 16:00:00,64
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 04:30:00,10
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 11:30:00,57
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 04:15:00,8
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 15:45:00,69
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 04:00:00,14
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 11:45:00,66
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 03:45:00,28
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 15:30:00,69
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 03:30:00,29
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 12:00:00,58
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-08 03:15:00,25
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 15:15:00,50
